stage,duration_ms,rows_processed,database_calls,js_sampling_mode,js_heap_before_bytes,js_heap_after_bytes,js_heap_delta_bytes,js_heap_peak_bytes,wasm_sampling_mode,wasm_heap_before_bytes,wasm_heap_after_bytes,wasm_heap_delta_bytes,wasm_heap_peak_bytes,database_size_before_bytes,database_size_after_bytes,total_duration_ms
after_pyodide_load,,,,,,25926603,,,,,91422720,,,196608,425984,2972
extract,15.7,0,21,start_end_only,25926603,25926603,0,25926603,start_end_only,91422720,91422720,0,91422720,196608,425984,2972
semantic_map,16.2,74,12,start_end_only,25926603,25926603,0,25926603,start_end_only,91422720,91422720,0,91422720,196608,425984,2972
normalize,2787.9,81,6,start_end_only,25926603,25926603,0,25926603,start_end_only,91422720,131661824,40239104,131661824,196608,425984,2972
group,125.8,7,14,start_end_only,25926603,25926603,0,25926603,start_end_only,131661824,131661824,0,131661824,196608,425984,2972
