stage,duration_ms,rows_processed,database_calls,js_sampling_mode,js_heap_before_bytes,js_heap_after_bytes,js_heap_delta_bytes,js_heap_peak_bytes,wasm_sampling_mode,wasm_heap_before_bytes,wasm_heap_after_bytes,wasm_heap_delta_bytes,wasm_heap_peak_bytes,database_size_before_bytes,database_size_after_bytes,total_duration_ms
after_pyodide_load,,,,,,125457175,,,,,90832896,,,196608,237068288,63548.1
extract,5327.6,0,21,start_end_only,125457175,125457175,0,125457175,start_end_only,90832896,271581184,180748288,271581184,196608,237068288,63548.1
semantic_map,12927.3,87329,12,start_end_only,125457175,125457175,0,125457175,start_end_only,271581184,325910528,54329344,325910528,196608,237068288,63548.1
normalize,10692,94329,193,start_end_only,125457175,125457175,0,125457175,start_end_only,325910528,325910528,0,325910528,196608,237068288,63548.1
group,34551.1,6,14,start_end_only,125457175,125457175,0,125457175,start_end_only,325910528,664010752,338100224,664010752,196608,237068288,63548.1
