stage,duration_ms,rows_processed,database_calls,js_sampling_mode,js_heap_before_bytes,js_heap_after_bytes,js_heap_delta_bytes,js_heap_peak_bytes,wasm_sampling_mode,wasm_heap_before_bytes,wasm_heap_after_bytes,wasm_heap_delta_bytes,wasm_heap_peak_bytes,database_size_before_bytes,database_size_after_bytes,total_duration_ms
after_pyodide_load,,,,,,30050514,,,,,91422720,,,196608,434176,3718.3
extract,79.6,0,13,start_end_only,30050514,30050514,0,30050514,start_end_only,91422720,91422720,0,91422720,196608,434176,3718.3
semantic_map,27.6,86,8,start_end_only,30050514,30050514,0,30050514,start_end_only,91422720,91422720,0,91422720,196608,434176,3718.3
normalize,3399,88,6,start_end_only,30050514,30050514,0,30050514,start_end_only,91422720,131661824,40239104,131661824,196608,434176,3718.3
group,185.5,37,13,start_end_only,30050514,30050514,0,30050514,start_end_only,131661824,131661824,0,131661824,196608,434176,3718.3
