stage,duration_ms,rows_processed,database_calls,js_sampling_mode,js_heap_before_bytes,js_heap_after_bytes,js_heap_delta_bytes,js_heap_peak_bytes,wasm_sampling_mode,wasm_heap_before_bytes,wasm_heap_after_bytes,wasm_heap_delta_bytes,wasm_heap_peak_bytes,database_size_before_bytes,database_size_after_bytes,total_duration_ms
after_pyodide_load,,,,,,22722165,,,,,90832896,,,196608,434176,3747.3
extract,78.5,0,13,start_end_only,22722165,22722165,0,22722165,start_end_only,90832896,90832896,0,90832896,196608,434176,3747.3
semantic_map,25.6,86,8,start_end_only,22722165,22722165,0,22722165,start_end_only,90832896,90832896,0,90832896,196608,434176,3747.3
normalize,3427.6,88,6,start_end_only,22722165,22722165,0,22722165,start_end_only,90832896,130875392,40042496,130875392,196608,434176,3747.3
group,188.7,37,13,start_end_only,22722165,22722165,0,22722165,start_end_only,130875392,130875392,0,130875392,196608,434176,3747.3
