stage,duration_ms,rows_processed,database_calls,js_sampling_mode,js_heap_before_bytes,js_heap_after_bytes,js_heap_delta_bytes,js_heap_peak_bytes,wasm_sampling_mode,wasm_heap_before_bytes,wasm_heap_after_bytes,wasm_heap_delta_bytes,wasm_heap_peak_bytes,database_size_before_bytes,database_size_after_bytes,total_duration_ms
after_pyodide_load,,,,,,36331390,,,,,90832896,,,196608,2596864,3200.7
extract,61.3,0,21,start_end_only,36331390,36331390,0,36331390,start_end_only,90832896,90832896,0,90832896,196608,2596864,3200.7
semantic_map,121.4,890,12,start_end_only,36331390,36331390,0,36331390,start_end_only,90832896,90832896,0,90832896,196608,2596864,3200.7
normalize,2799.9,960,7,start_end_only,36331390,36331390,0,36331390,start_end_only,90832896,130875392,40042496,130875392,196608,2596864,3200.7
group,190.4,7,14,start_end_only,36331390,36331390,0,36331390,start_end_only,130875392,130875392,0,130875392,196608,2596864,3200.7
