stage,duration_ms,rows_processed,database_calls,js_sampling_mode,js_heap_before_bytes,js_heap_after_bytes,js_heap_delta_bytes,js_heap_peak_bytes,wasm_sampling_mode,wasm_heap_before_bytes,wasm_heap_after_bytes,wasm_heap_delta_bytes,wasm_heap_peak_bytes,database_size_before_bytes,database_size_after_bytes,total_duration_ms
after_pyodide_load,,,,,,26207862,,,,,90963968,,,196608,20725760,20343.3
extract,4592.6,0,13,start_end_only,26207862,26207862,0,26207862,start_end_only,90963968,157286400,66322432,157286400,196608,20725760,20343.3
semantic_map,1917.5,6609,8,start_end_only,26207862,26207862,0,26207862,start_end_only,157286400,157286400,0,157286400,196608,20725760,20343.3
normalize,4097.3,6809,19,start_end_only,26207862,26207862,0,26207862,start_end_only,157286400,157286400,0,157286400,196608,20725760,20343.3
group,9706.5,3004,13,start_end_only,26207862,26207862,0,26207862,start_end_only,157286400,188743680,31457280,188743680,196608,20725760,20343.3
