stage,duration_ms,rows_processed,database_calls,js_sampling_mode,js_heap_before_bytes,js_heap_after_bytes,js_heap_delta_bytes,js_heap_peak_bytes,wasm_sampling_mode,wasm_heap_before_bytes,wasm_heap_after_bytes,wasm_heap_delta_bytes,wasm_heap_peak_bytes,database_size_before_bytes,database_size_after_bytes,total_duration_ms
after_pyodide_load,,,,,,26351445,,,,,90963968,,,196608,434176,3800.5
extract,77.1,0,13,start_end_only,26351445,26351445,0,26351445,start_end_only,90963968,90963968,0,90963968,196608,434176,3800.5
semantic_map,24,86,8,start_end_only,26351445,26351445,0,26351445,start_end_only,90963968,90963968,0,90963968,196608,434176,3800.5
normalize,3492.2,88,6,start_end_only,26351445,26351445,0,26351445,start_end_only,90963968,131072000,40108032,131072000,196608,434176,3800.5
group,180.7,37,13,start_end_only,26351445,26351445,0,26351445,start_end_only,131072000,131072000,0,131072000,196608,434176,3800.5
