Category,Sub-category,Code Name,Definition
,,Glossary,"User suggests annotating/defining jargon  (i.e., user agent)"
,,Add manual/external events,"User suggests the ability to add manual events in the timeline (e.g., when Bob moved out)"
,,Most recent events,"(Keeping this for now, might subsume into another code eventually)"
,,Progressive disclosure in event/device details,User suggests using hierarchy or progressive disclosure to make device or event details (expanded) easier to read
,,Graph view,"A view (graphical, tabular, etc) that relates different devices or sessions to the origin IP address"
,,IP augmentation,"Geolocation a certain IP address, determining if IP addresses are from VPNs, letting users annotate IP addresses, "
,,Nudges/help/tour,User wants more tutorials/nudges/help modals. Includes wanting infra to build hypotheses and have them be corrected if obviously inconsistent with data
,,Interviewer suggests new feature,Interviewer brings up an idea in development or was suggested previously to get feedback (separate natural suggestions from promed
,,Additional Annotation,User wants more expansive or robust annotation features in the UI
,,Additional Filtering,User wants more options for filters or ways to stack filters
,,Reset/Export,User wants an option to reset or export all annotations.
,,Re-order visual elements,"User wants to re-order visual elements on a page, generally."
Deployment Considerations,In Tech Clinic,Limited time during consultations,Points out logistical difficulty of using LEStrADE during the short time window of a typical consultation
,,Requesting data exports,Considerations about requesting data exports in the clinic setting; which categories; how to request; time between request and receipt
,,Overwhelm / high cognitive load,User mentions that the amount of information might overwhelm the client or consultant
,,Client communication,"Difficulties or strategies they would use when communicating info to client, including disclaimers about certainty, corroboration client context, asking before taking a decision, Distracts from attending to client, teaching the client about the data exports"
,,Re-traumatizing to client,Points out that data contents or volume could be stressful or overwhelming to client
,,Benefits,"Remarks about how or why the tool might be beneficial specifically in the clinic setting, how the tool might address a difficulty users frequency encounter"
,,Real user data,Considerations related to the size/scale of real user data; privacy considerations about collaboratively working with real user data
,Learnability,Jargon & Terminology,Anticipated issues about how non-techncial users might struggle with jargon or technical concepts
,,Wants/can't find existing feature,Participant expresses a desire for or suggests a feature that already exists (since they have not yet found it)
,,Easier with future use,Participant mentions that the tool may become easier to use in the future after they use it more
,,(Non) Interest in Tour,Remarks about learning the tool through the tour OR stated noninterest in the tour feature
,Trust & Reliability,"Testing, bugs, and compatibility","How bugs impact trust, need for testing, browser compatibility, etc"
,,Developer reputability,Remarks about trustworthiness and privacy motivations of the developer.
,,Communicating tool's purpose/scope,"Remarks about how to communicate what the tool does (parse) and does not/cannot do (classify). What limitations arise from the tool vs the data at a high level (i.e., in tutorials, landing page)"
,,Distinguishing between parsed data & augmentation/inference,Somewhat similar to the above; remarks about how the tool communicates the *difference* between individual data records. Which fields were augmented or normalized vs which come from the original dataset? How can the analyst verify?
